Name,Url,Authority,Started On,Finished On,License Number
Master Digital Transformation,https://www.linkedin.com/learning/certificates/e114acde555771b8dcbc828ca9afef91da2f4edbfea298f930bb95708d58d12d,LinkedIn,Nov 2022,,
Master SQL for Data Science,https://www.linkedin.com/learning/certificates/f588cad64813a6ee6c5ab99dd7e695a257be51d017505f390f13f6b025db656e,LinkedIn,Nov 2022,,
Master the Fundamentals of AI and Machine Learning,https://www.linkedin.com/learning/certificates/85af26ae028e5d4069708814d181a14cecbaeda7befc890149a53436898f01dc,LinkedIn,Nov 2022,,
Prepare for the AWS Certified Solutions Architect - Associate Exam (SAA-C02),https://www.linkedin.com/learning/certificates/61c92efa6609ee020c9cd727f6f7a5f8dd1d8a09f7cd563ea31105e031a2ede8,LinkedIn,Nov 2022,,
Improve Your JavaScript Language Skills,https://www.linkedin.com/learning/certificates/83ee7d41ec670a8abeff2716ec6be8a421955ca5c6a49c7bbeea415b2ace66d8,LinkedIn,Nov 2022,,
Advance Your Business Analytics Skills,https://www.linkedin.com/learning/certificates/b94582e17cd975bc1d9897d8ac4182e8a628e7d1d0c4cf326ca976394000a668,LinkedIn,Nov 2022,,
Become a Raspberry Pi Developer,https://www.linkedin.com/learning/certificates/da8658dd2a7bc105794cd70c7bf304694b79ce9e68eb4cb8a4ee31ba7db6ea1b,LinkedIn,Nov 2022,,
Advance Your Skills in SQL,https://www.linkedin.com/learning/certificates/da4e022b7e868c814b541fe715dded98ea62d1834750466a8fbde3609c42482d,LinkedIn,Nov 2022,,
Explore Web Development with Vanilla JavaScript,https://www.linkedin.com/learning/certificates/b4fca56fdb927b70dac15371fc59cef9f66ffc31502bcc234111e747f05880b6,LinkedIn,Nov 2022,,
Getting Started as a C# Developer,https://www.linkedin.com/learning/certificates/619e8b9a773c66994847231f3f6519439e966bb43d0272f77a3eafa2685f2b14,LinkedIn,Nov 2022,,
Getting Started with DevOps,https://www.linkedin.com/learning/certificates/188f0b354035057079d55c39b66a2723c48bc9e935e5ce19b51699246be7ecf9,LinkedIn,Nov 2022,,
Master JavaScript,https://www.linkedin.com/learning/certificates/99257c3405c161d21caed69a66ee10273b1d54fc133d3792c06385127b9eddbd,LinkedIn,Nov 2022,,
Getting Started with Cloud Development,https://www.linkedin.com/learning/certificates/212298083d7764d1ef37684ad9af95bc775d1897beb0f100b873ced8a3b2c740,LinkedIn,Nov 2022,,
Develop Your AWS Skills,https://www.linkedin.com/learning/certificates/9ff20393ef8eb05f477180beb2ad67c0de25660082abe2ed96490707a3e04b63,LinkedIn,Nov 2022,,
Prepare for the Microsoft Azure Fundamentals (AZ-900) Exam,https://www.linkedin.com/learning/certificates/440f69d864fe68bdbc7e96a81117eba5638f2c7a20b539260a08c76c522d8c4d,LinkedIn,Nov 2022,,
The Top Skills Engineering Professionals Have Right Now,https://www.linkedin.com/learning/certificates/b2025212e4c7334fa3afc1939ac080ef96ae1a196e1983925ad13e9a426fa0ae,LinkedIn,Nov 2022,,
Essential New Skills in Software Engineering,https://www.linkedin.com/learning/certificates/a557646fadb9545c92dca696f7689a6855608acf23c6376847437792db7b22b1,LinkedIn,Nov 2022,,
Succeed as a Remote Software Developer,https://www.linkedin.com/learning/certificates/d81a1b70aba69ea5f738464852af25a94c0535a25610d0ec7481bdde95c6a411,LinkedIn,Nov 2022,,
Getting Started with Software Testing,https://www.linkedin.com/learning/certificates/921d6b349bd1d47c048ed4ada2c447b3b3ca314d7df204e182438345e8c1b197,LinkedIn,Nov 2022,,
Software Development Fundamentals,https://www.linkedin.com/learning/certificates/c7802f4798c81274a3158b2643993be89661f267492663e8fbc1cef99e1c9b57,LinkedIn,Nov 2022,,
Become a Programmer: Foundations,https://www.linkedin.com/learning/certificates/b1bc14d91e71cec0576371307979e1c78c7c9b09b88fdc7d6fb2d0e609a3b14f,LinkedIn,Nov 2022,,
Become a Software Developer,https://www.linkedin.com/learning/certificates/b72a1153e6a66de872200e259bc88caf1a420910661deec6922392268d67e5b3,LinkedIn,Nov 2022,,
Advance Your Skills in AI and Machine Learning,https://www.linkedin.com/learning/certificates/599435508c444a049df42ab2d4dd5f3bad023e396fa66a224787413e1f8021cd,LinkedIn,Nov 2022,,
Master In-Demand Skills for Technology Leadership,https://www.linkedin.com/learning/certificates/76cf0925f402c6a1cfbd64d5684cc607a11b3d0c2db115b4228ffaa44b45f9c9,LinkedIn,Nov 2022,,
Digital Transformation for Tech Leaders,https://www.linkedin.com/learning/certificates/3d579d6daf6e8bb75241765f14c7ec588d6c24e7002337a8ee8748683c420b53,LinkedIn,Nov 2022,,
Explore a Career in IT Support,https://www.linkedin.com/learning/certificates/2ea9abd9cdd4d1d10f3ccf00e2b331af9986d5360c7f86a109d1234873c67801,LinkedIn,Nov 2022,,
Understanding Quantum Computing,https://www.linkedin.com/learning/certificates/5e4593ee33ec885cf93844733803ccecb67967f0cbcc2dcb748084edb6fbc2a6,LinkedIn,Nov 2022,,
Prepare for the CompTIA Security+ (SY0-601) Certification Exam,https://www.linkedin.com/learning/certificates/05b577fa7f0331d8dcfedd3018028e91d06593edef7c661ae4b3cd284fa004c8,LinkedIn,Nov 2022,,
The Top Skills IT Professionals Have Right Now,https://www.linkedin.com/learning/certificates/a82092187bf66c163ea547a2e26d6335bc0fd46de463b47ee51e223be3e923ee,LinkedIn,Nov 2022,,
Become a Business Analyst,https://www.linkedin.com/learning/certificates/b36cdac099468aff3ad1650ad22f4f508194a61e23e128fb27bf55df401fa1a0,LinkedIn,Nov 2022,,
Become a Data Scientist,https://www.linkedin.com/learning/certificates/9e71528b5b4f136d4ea1ebb9a48fabd51348ee421b89269a477b54f6ce3a95dd,LinkedIn,Nov 2022,,
Become a Data Analytics Specialist,https://www.linkedin.com/learning/certificates/451c06f7d940a6b8c693558359d1ca131fdbadf33f0a4d94b6980b568abf35ad,LinkedIn,Nov 2022,,
